,GRTS.Cell.ID,Quadrant,Lat,Long,Years_Sampled,N_Years,Species_2025
20,12522,SW,49.7022,-124.52268,"2,016,201,720,182,010,000,000,000,000",7,NA
21,16426,NE,54.82137,-123.355785,"201,820,192,020,202,000,000,000",6,NA
22,16426,SE,54.818945,-123.339974,"201,820,192,020,202,000,000,000",6,NA
23,17706,NW,51.97600921,-120.1036777,"2,019,202,020,242,020",4,"MYCA, MYLU, MYVO"
24,17706,SE,51.940804,-120.016832,"20,192,020,202,320,200,000",5,"LABO, LACI, LANO, MYCA, MYEV, MYLU"
25,17706,SW,51.94316,-120.06784,"2,019,202,020,232,020",4,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO"
26,20330,NE,49.424541,-117.7286549,"201,620,172,018,201,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYSE, MYVO, MYYU"
27,20330,SE,49.381304,-117.6779339,"201,620,172,018,201,000,000,000,000,000,000,000",9,"ANPA, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU, PAHE"
28,20330,SW1,49.346646,-117.7779219,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU, PAHE"
29,20330,SW2,49.343706,-117.7379372,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYSE, MYVO, MYYU, PAHE"
30,20730,NE,56.7952475,-124.9005858,"202,220,242,025",3,"EPFU, LABO, LANO, MYEV, MYLU, MYSE, MYVO"
31,20730,NW,56.79948362,-124.9761373,"202,220,242,025",3,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
32,20730,SE,56.7845655,-124.8854358,"202,220,242,025",3,"LABO, LANO, MYEV, MYLU, MYSE, MYVO"
33,20730,SW,56.76456457,-124.985882,"20,222,025",2,"LABO, LANO, MYEV, MYLU, MYVO"
34,26170,NE,53.620517,-132.208832,"2,022,202,320,242,020",4,"MYCA, MYEV, MYLU, MYYU"
35,26170,NW,53.604517,-132.288374,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU, MYYU"
36,26170,SE,53.58901,-132.176947,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU, MYYU"
37,26170,SW,53.568946,-132.230418,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU, MYYU"
38,37274,NE,53.088742,-119.203183,"201,820,192,020,202,000,000,000",6,NA
39,37274,SE,53.050514,-119.214184,"201,820,192,020,202,000,000,000",6,NA
40,37274,SW,53.035636,-119.228949,"201,820,192,020,202,000,000,000",6,NA
41,38442,NW,51.5199863,-122.2897779,"20,182,020,202,120,200,000",5,"COTO, EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
42,38442,SW,51.502381,-122.289917,"201,820,192,020,202,000,000,000",6,NA
43,42026,NE,55.85526785,-121.6534502,"202,220,242,025",3,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYVO"
44,42026,NW,55.83615996,-121.7169091,"202,220,242,025",3,"EPFU, LABO, LANO, MYEV, MYLU, MYSE, MYVO"
45,42026,SE,55.81796825,-121.6640549,"202,220,242,025",3,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
46,42026,SW,55.81130793,-121.7013079,"202,220,242,025",3,"EPFU, LABO, LACI, LANO, MYLU, MYSE, MYVO"
47,47210,NE,49.84024333,-119.8811811,"20,232,024",2,NA
48,47210,NW,49.84159091,-119.9782986,"202,320,242,025",3,"ANPA, EPFU, EUMA, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
49,47210,SE,49.79638208,-119.8698479,"202,320,242,025",3,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO"
50,47210,SW,49.79097,-119.9526683,"20,232,025",2,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYYU"
51,47322,NE,55.698075,-120.43213,"201,620,172,018,201,000,000,000,000,000,000,000",9,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
52,47322,NW,55.70016,-120.489889,"20,162,017,201,820,100,000,000,000,000,000",8,NA
53,47322,SE,55.64597,-120.40102,"2,016,201,720,182,010,000,000,000,000",7,NA
54,47322,SW,55.65446,-120.49465,"201,620,172,018,201,000,000,000,000,000,000,000",9,"LABO, LACI, MYLU, MYVO"
55,57322,NE,49.094543,-122.098809,"2,017,201,820,192,020,000,000,000,000",7,NA
56,57322,NW,49.07915,-122.16077,"2,017,201,820,192,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
57,57322,SE,49.0141,-122.09198,"2,018,201,920,202,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
58,57322,SW,49.016633,-122.151312,"201,820,192,020,202,000,000,000",6,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
59,58842,NW,54.799517,-121.188599,"20,242,025",2,"LABO, LACI, LANO, MYEV, MYLU, MYVO"
60,58842,SE,54.737807,-121.160519,"20,242,025",2,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYVO"
61,58842,SW,54.757158,-121.255406,"20,242,025",2,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
62,60586,NW,50.93041,-116.39001,"202,020,212,022,202,000,000,000",6,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
63,60586,SW,50.90342,-116.39335,"202,020,212,022,202,000,000,000",6,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYTH, MYVO, MYYU"
64,70250,NW,51.24583,-116.91793,"202,020,212,022,202,000,000,000",6,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYVO"
65,70250,SW,51.20982,-116.89974,"2,020,202,120,222,020",4,"EPFU, LABO, LACI, LANO, MYCA, MYLU, MYVO"
66,73002,NE,50.850673,-121.872189,"201,620,172,018,201,000,000,000,000,000,000,000",9,"EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
67,73002,SE,50.824841,-121.868963,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
68,73002,SW,50.80422,-121.87782,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
69,73786,NW,49.12334,-123.06198,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"LACI, LANO, MYCA, MYLU, MYVO, MYYU"
70,73786,SE,49.12604,-123.001631,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"EPFU, LACI, LANO, MYCA, MYLU, MYVO, MYYU"
71,73786,SW,49.108227,-123.079916,"20,162,018,201,920,200,000,000,000,000,000",8,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
72,77162,NE,50.95478,-118.09975,"201,620,172,018,201,000,000,000",6,NA
73,77162,NW1,50.94693,-118.16403,"20,162,017,201,820,100,000,000,000,000,000",8,NA
74,77162,NW2,50.92995,-118.14712,"201,620,172,018,201,000,000,000,000,000,000,000",9,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
75,77162,SW,50.886,-118.10586,"201,620,172,018,201,000,000,000,000,000,000,000",9,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
76,79018,NE,50.202097,-116.910069,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
77,79018,NW,50.193827,-116.947519,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
78,79018,SE,50.187225,-116.904186,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
79,79018,SW,50.177706,-116.959679,"201,620,172,018,201,000,000,000,000,000,000,000",9,NA
80,86074,NE,49.23087,-122.305598,"2,017,201,820,202,020,000,000,000,000",7,NA
81,86074,NW,49.184424,-122.403309,"2,016,201,720,202,020",4,NA
82,86074,SE,49.169621,-122.319295,"20,162,017,202,020,200,000",5,NA
83,86074,SW,49.141737,-122.382035,"2,016,201,720,192,020,000,000,000,000",7,NA
84,89962,NE,49.07682,-117.5986,"202,220,232,025",3,"ANPA, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
85,89962,NW,49.06438,-117.61592,2022,1,NA
86,89962,SE,49.00974,-117.57236,"202,220,242,025",3,"ANPA, COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
87,89962,SW,49.0077,-117.63034,"202,220,242,025",3,"ANPA, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
88,93290,NE,49.443606,-119.565345,"201,820,202,021,202,000,000,000",6,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
89,93290,NW,49.4153057,-119.6018008,"201,720,182,019,202,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, EUMA, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
90,93290,SE,49.384329,-119.5616458,"201,620,172,018,201,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
91,93290,SW,49.37943,-119.59374,"201,720,182,019,202,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
92,94522,NE1,53.12773,-131.80618,"201,720,182,019",3,NA
93,94522,NE2,53.11768,-131.76431,"201,620,182,019",3,NA
94,94522,NW,53.10732,-131.86467,"2,016,201,720,182,010",4,NA
95,94522,SE,53.08196,-131.77925,"201,720,182,019",3,NA
96,110378,NE,49.04717,-119.5574,"20,182,019,202,020,200,000,000,000,000,000",8,"ANPA, COTO, EPFU, EUMA, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
97,110378,NW,49.035355,-119.575462,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
98,110378,SE,49.01485,-119.53228,"20,182,019,202,020,200,000,000,000,000,000",8,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO"
99,110378,SW,49.004116,-119.595522,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
100,111466,NE,49.001285,-115.0618438,"20,232,025",2,"ANPA, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU, PAHE"
101,111466,NW,49.01860875,-115.0956838,"20,232,025",2,"ANPA, EPFU, LABO, LACI, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
102,114602,NE,49.70588,-125.06708,"201,820,192,020,202,000,000,000",6,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
103,114602,NW,49.67623,-125.13792,"2,018,201,920,202,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
104,114602,SE,49.65756,-125.0438,"2,018,201,920,202,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
105,114602,SW,49.64146,-125.08654,"2,018,201,920,202,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
106,115322,NE,52.37764,-125.98565,"201,820,202,021,202,000,000,000",6,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
107,115322,NW,52.37481,-126.08159,"20,182,019,202,020,200,000,000,000,000,000",8,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
108,115322,SE,52.35752,-126.01253,"2,018,201,920,212,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
109,115322,SW,52.34498,-126.07967,"20,182,019,202,020,200,000,000,000,000,000",8,"LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
110,127850,NE,49.313072,-115.01912,"20,172,018,201,920,200,000",5,NA
111,127850,NW,49.309601,-115.052005,"20,162,017,201,820,100,000,000,000,000,000",8,NA
112,127850,SE,49.284975,-114.953949,"201,620,192,020,202,000,000,000",6,NA
113,127850,SW,49.267101,-115.02532,"20,172,018,201,920,200,000,000,000,000,000",8,NA
114,128058,NE,48.841169,-123.427265,"20,182,019,202,020,200,000",5,NA
115,128058,NW,48.82144,-123.486428,"20,182,019,202,020,200,000",5,NA
116,128058,SW,48.798281,-123.476317,"20,182,019,202,020,200,000",5,NA
117,132650,SE,51.818279,-122.4214442,"202,020,212,022,202,000,000,000",6,"EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
118,132650,SW,51.80225,-122.46284,"202,020,212,022,202,000,000,000",6,"EUMA, LACI, LANO, MYCI, MYEV, MYLU"
119,137274,NE,48.79,-123.6988,"20,182,019,202,020,200,000",5,NA
120,137274,NW,48.7891,-123.719,"201,820,192,020,202,000,000,000",6,NA
121,137274,SE,48.7539,-123.6447,"201,820,192,020,202,000,000,000",6,NA
122,143274,NE,50.3377,-122.8012,"2,019,202,020,212,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYTH, MYVO, MYYU"
123,143274,NW,50.3446,-122.8479,"2,019,202,020,212,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYTH, MYVO, MYYU"
124,143274,SE,50.3004,-122.758,"2,019,202,020,212,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
125,143274,SW,50.2961,-122.8048,"2,019,202,020,212,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYTH, MYVO, MYYU"
126,143338,NE,49.19987,-121.57586,2016,1,NA
127,143338,NW,49.201168,-121.63672,2016,1,NA
128,143338,SE,49.13192,-121.57613,2016,1,NA
129,145578,NE,49.931778,-115.655583,"2,018,201,920,202,020,000,000,000,000",7,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
130,145578,NW,49.935444,-115.674972,"201,920,212,022,202,000,000,000",6,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, PAHE"
131,145578,SE,49.899833,-115.642222,"20,182,019,202,020,200,000,000,000,000,000",8,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU, PAHE"
132,145578,SW,49.895889,-115.695,"2,019,202,020,212,020,000,000,000,000",7,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
133,147306,NE1,49.12497,-116.63758,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
134,147306,NE2,49.1392,-116.63617,"201,620,172,019,202,000,000,000,000,000,000,000",9,"COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
135,147306,SE1,49.0983,-116.61603,"201,620,172,019,202,000,000,000,000,000,000,000",9,"COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
136,147306,SE2,49.109,-116.60622,"20,162,017,202,020,200,000,000,000,000,000",8,"COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
137,151210,NE1,49.088801,-125.859175,"201,920,212,022,202,000,000,000",6,"LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
138,151210,NE2,49.083469,-125.840076,2019,1,NA
139,170042,NE,49.476391,-123.688973,2016,1,NA
140,170042,SE,49.444805,-123.661756,2016,1,NA
141,172090,NE,49.37012,-122.94857,"201,820,192,020,202,000,000,000",6,NA
142,172090,NW,49.3468347,-123.009846,"20,182,019,202,120,200,000",5,NA
143,172090,SE,49.32364,-122.97036,"201,820,192,020,202,000,000,000",6,NA
144,172090,SW,49.31421,-123.01406,"201,820,192,020,202,000,000,000",6,NA
145,175354,SE,59.42418,-125.94917,"201,820,192,020",3,NA
146,175354,SW,59.40931,-126.09868,"20,182,019,202,020,200,000",5,"EPFU, LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
147,186330,NE,55.95726904,-122.589492,"20,242,025",2,"LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
148,186330,NW,55.94605604,-122.6592212,"20,242,025",2,"EPFU, LABO, LACI, LANO, MYLU, MYVO"
149,186490,NW,54.754,-127.12678,"201,620,172,018,201,000,000,000,000,000,000,000",9,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO"
150,186490,SE,54.722574,-126.997418,"2,016,201,720,182,010,000,000,000,000",7,NA
151,186490,SW,54.722779,-127.053965,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO"
152,194666,NE,50.230138,-119.32344,"20,162,017,201,820,100,000,000,000,000,000",8,NA
153,194666,SE1,50.203362,-119.343654,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
154,194666,SE2,50.195,-119.3531,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
155,194666,SW,50.169151,-119.410806,"201,620,172,018,201,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
156,195242,SE1,49.028475,-125.545943,"2,017,201,920,212,020,000,000,000,000",7,"MYCA, MYEV, MYLU, MYVO, MYYU"
157,195242,SE2,49.034009,-125.552807,"2,017,201,920,212,020,000,000,000,000",7,"COTO, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
158,195242,SW1,48.999709,-125.595301,"2,017,201,920,212,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
159,195242,SW2,49.007628,-125.613136,"2,017,201,920,212,020,000,000,000,000",7,"LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
160,195242,SW3,49.017179,-125.641363,"2,017,201,920,212,020,000,000,000,000",7,"LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
161,206394,NE,53.636548,-132.050561,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU, MYYU"
162,206394,NW,53.637196,-132.162509,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU, MYYU"
163,206394,SE,53.608769,-131.99988,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU"
164,206394,SW,53.573235,-132.115794,"2,022,202,320,242,020",4,"LANO, MYCA, MYEV, MYLU"
165,212266,NE,50.7512766,-120.4800092,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"COTO, EPFU, EUMA, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
166,212266,NW,50.7775476,-120.5598176,"20,172,018,201,920,200,000,000,000,000,000",8,"COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
167,212266,SE,50.7148071,-120.4925243,"201,620,172,018,201,000,000,000,000,000,000,000",9,"COTO, EPFU, EUMA, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, MYYU"
168,212266,SW,50.7323352,-120.5218426,"201,620,182,019,202,000,000,000,000,000,000,000",9,"COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
169,212906,NW,49.36971,-124.79984,"2,018,201,920,202,020,000,000,000,000",7,"LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
170,212906,SE,49.35175,-124.74136,"2,018,201,920,202,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
171,212906,SW,49.33595,-124.7423,"201,820,192,020,202,000,000,000",6,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
172,216746,NW,49.106754,-125.78544,"2,021,202,220,242,020",4,"COTO, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
173,216746,NW1,49.106754,-125.78544,"201,720,192,023",3,NA
174,216746,NW2,49.099764,-125.776088,2019,1,NA
175,216746,NW3,49.093132,-125.780622,2019,1,NA
176,216746,SE,49.077676,-125.746438,"2,017,201,920,212,020,000,000,000,000",7,"COTO, LANO, MYCA, MYEV, MYLU, MYYU"
177,216746,SW1,49.087453,-125.787414,"201,720,192,021,202,000,000,000",6,NA
178,216746,SW2,49.079599,-125.763472,"2,017,201,920,212,020,000,000,000,000",7,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
179,218282,SE,50.138325,-117.556721,"20,202,021,202,220,200,000",5,"EPFU, LACI, LANO, MYCA, MYEV, MYLU"
180,218282,SW,50.150936,-117.622098,"202,020,212,022,202,000,000,000",6,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
181,219626,SW,48.92819429,-125.25,"20,242,025",2,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
182,226090,NE,50.10929,-120.45236,"201,920,202,021,202,000,000,000",6,"LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO"
183,226090,NW,50.0999,-120.50647,"2,018,201,920,202,020,000,000,000,000",7,"COTO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO"
184,226090,SE,50.07156,-120.42266,"201,820,192,020,202,000,000,000",6,"LABO, MYEV"
185,230186,NE,49.014567,-121.071983,"20,182,019,202,020,200,000",5,NA
186,230186,NE2,49.01904,-121.05852,2023,1,NA
187,230186,SE,48.975109,-121.083294,"201,820,192,020,202,000,000,000",6,NA
188,241002,NE,51.038169,-118.135697,"201,720,182,019,202,000,000,000,000,000,000,000",9,"EPFU, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
189,241002,NW,51.015969,-118.202923,"201,720,182,019,202,000,000,000,000,000,000,000",9,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO, MYYU"
190,243562,NE,49.699661,-115.984981,"20,162,017,201,920,200,000,000,000,000,000",8,"ANPA, EPFU, LABO, LACI, LANO, MYCI, MYEV, MYLU, MYTH, MYVO"
191,243562,SE,49.650677,-115.946919,"20,162,017,201,920,200,000,000,000,000,000",8,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYVO"
192,243562,SW1,49.658879,-116.02058,"201,620,172,018,201,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU, PAHE"
193,243562,SW2,49.654339,-115.993488,"201,620,172,019,202,000,000,000,000,000,000,000",9,"ANPA, COTO, EPFU, LABO, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYVO, PAHE"
194,249914,NW,49.20584,-123.26255,2022,1,NA
195,249914,SE,49.16442,-123.12268,2022,1,NA
196,249914,SW,49.16934,-123.19394,2022,1,NA
197,252394,NW,48.79865,-125.1656819,"20,242,025",2,"LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
198,265749,NE,49.15892,-119.03758,"201,820,192,020,202,000,000,000",6,NA
199,265749,NW,49.16674,-119.10324,"20,182,019,202,020,200,000,000,000,000,000",8,"COTO, EPFU, EUMA, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
200,265749,SE,49.11153,-118.97698,"20,182,019,202,020,200,000,000,000,000,000",8,"COTO, EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO, MYYU"
201,265749,SW,49.11337,-119.05299,"20,182,019,202,020,200,000,000,000,000,000",8,"EPFU, LACI, LANO, MYCA, MYCI, MYEV, MYLU, MYTH, MYVO"
202,268521,NE,49.49916,-115.03962,"20,182,019,202,020,200,000,000,000,000,000",8,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYVO"
